X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	taxa
1.75097276264591	5.69105691056911	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1.66666666666667	0	0	NA	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	3.68098159509202	3.8961038961039	0	0	17.3076923076923	0	0	0	0	0	0	4.8780487804878	14.1843971631206	20.4545454545455	4.6242774566474	6.45161290322581	0	9.18918918918919	14.6788990825688	22.9268292682927	2.85714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.75190575190575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.587371512481645	0	0	0	0	0	0	0	NA	0	0	o:Abeoformidae
0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	29.1666666666667	0	NA	0	0	0	NA	0	NA	0	0	2.7972027972028	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53846153846154	4.34782608695652	0	0	0	0	0	0	0	0	0	2.05882352941176	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.655737704918033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30973451327434	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	o:Apusomonadidae_Group-1
1.16731517509728	0	0	0	0	0	0	0	NA	NA	0	15.9090909090909	18.5185185185185	0	0	0	NA	0	0	0	15.7894736842105	0	0	50	100	0	100	6.03290676416819	17.1717171717172	62.7659574468085	0	NA	0	0	21.6666666666667	0	0	NA	37.5	36.6666666666667	NA	0	0	100	NA	44.1860465116279	NA	38.5714285714286	29.4871794871795	18.8811188811189	10.3448275862069	13.2075471698113	3.84615384615385	8.21917808219178	43.6974789915966	45.3453453453453	66.3212435233161	50.3448275862069	50.920245398773	34.4155844155844	62.037037037037	47.2222222222222	8.97435897435897	10.7692307692308	0	6.17283950617284	13.8297872340426	23.1707317073171	15.0837988826816	3.65853658536585	0	23.8636363636364	26.5895953757225	41.9354838709677	11.7647058823529	10.2702702702703	23.8532110091743	8.29268292682927	14.2857142857143	13.9344262295082	18	34.5679012345679	39.5480225988701	33.5012594458438	34.375	15	40.3726708074534	31.3725490196078	38.2978723404255	44.5901639344262	58.1294964028777	62.2535211267606	55.1856594110115	8.85416666666667	52	11.9047619047619	4.91803278688525	13.6363636363636	15.0793650793651	13.840830449827	0	13.1578947368421	7.58928571428571	10.4838709677419	3.76175548589342	4.08858603066439	4.28954423592493	4.43864229765013	2.63340263340263	0	0	0	0	0	6.18556701030928	4.42477876106195	0	5.21327014218009	2.41379310344828	46.6666666666667	100	0	68.141592920354	13.7614678899083	0	83.5820895522388	NA	0	0	0.440528634361234	100	17.9310344827586	4.34782608695652	34.2105263157895	0	0	0	NA	0	0	o:Craspedida
0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	1.2012012012012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	o:Ichthyophonidae
0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0.900900900900901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.34463276836158	0	0	0	11.1801242236025	0	0	0	0	0	0	0	0	0	1.63934426229508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	40.7142857142857	0	0	0	0	0	0	0	0	NA	0	0	o:Pseudoperkinsidae
0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.9943502824859	5.54156171284635	0	0	0	10.1960784313725	1.21580547112462	6.55737704918033	9.20863309352518	14.9295774647887	1.98463508322663	5.72916666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	o:Psorospermidae
0	0	0	0	0	0	100	42.4242424242424	NA	NA	0	0	0	0	0	0	NA	0	44.9760765550239	30.0353356890459	42.9824561403509	0	0	0	0	0	0	70.9323583180987	29.2929292929293	0	100	NA	0	0	0	0	0	NA	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2520325203252	2.23463687150838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00755667506297	0	0	0	0	0	0	0.287769784172662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.8260869565217	10.952380952381	34.639175257732	0	0	6.63507109004739	0	0	0	100	0	32.1100917431193	0	0	NA	0	0	0	0	0	26.0869565217391	0	50	0	0	NA	0	22.3880597014925	o:Rhynosporidae
97.0817120622568	94.3089430894309	100	100	100	100	0	57.5757575757576	NA	NA	100	84.0909090909091	81.4814814814815	100	100	100	NA	100	55.0239234449761	69.9646643109541	41.2280701754386	100	100	50	0	100	0	23.0347349177331	53.5353535353535	37.2340425531915	0	NA	100	100	76.6666666666667	100	100	NA	33.3333333333333	63.3333333333333	NA	100	100	0	NA	55.8139534883721	NA	61.4285714285714	70.5128205128205	78.3216783216783	89.6551724137931	86.7924528301887	96.1538461538462	91.7808219178082	56.3025210084034	52.5525525525526	33.6787564766839	49.6551724137931	45.398773006135	61.6883116883117	37.962962962963	52.7777777777778	73.7179487179487	87.6923076923077	95.6521739130435	93.8271604938272	86.1702127659574	73.5772357723577	82.6815642458101	91.4634146341463	85.8156028368794	55.6818181818182	68.7861271676301	51.6129032258064	86.1764705882353	80.5405405405405	61.4678899082569	68.780487804878	82.8571428571429	86.0655737704918	81	65.4320987654321	40.1129943502825	59.9496221662469	65.625	85	48.4472049689441	58.4313725490196	60.4863221884498	48.1967213114754	32.3741007194245	22.8169014084507	42.8297055057618	85.4166666666667	48	88.0952380952381	93.4426229508197	86.3636363636364	84.9206349206349	86.159169550173	100	86.8421052631579	92.4107142857143	89.5161290322581	96.2382445141066	95.9114139693356	95.7104557640751	95.5613577023499	91.6146916146916	100	100	100	52.1739130434783	89.047619047619	59.1752577319588	90.2654867256637	100	88.1516587677725	97.5862068965517	53.3333333333333	0	0	31.858407079646	54.1284403669725	100	16.4179104477612	NA	100	59.2857142857143	98.9720998531571	0	82.0689655172414	69.5652173913043	65.7894736842105	50	100	100	NA	100	77.6119402985075	Unclassified
