X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	taxa
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0.0286341509974229	0	0	0	0	0	0.0343053173241852	0.222836259916214	0.243210376976084	0	0.0726568176313877	0.057323015190599	0	0	0.00548125411094058	0	0	0	0	0.0477412424658352	0	0.0420403587443946	0	0	0.203082069047903	0.0623830318153462	0	0	0	0.226323119777159	0.505801844689081	0.261651676206051	0	0	0	0	0	0.102901831652603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113202207443045	0	0	0	0	0	0	0	0	0	0	0.270740669116225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Alphamonas_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0.0445672519832427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Apocyrtolophosis_sp.
6.46153846153846	12.6352395672334	1.08919634972034	0	4.2708734128511	0.498782043846421	0.834183301763077	0.238284352660842	0.169910981420604	0.293225982804036	0.11162339238049	0.0361778139555917	9.54803596781827	0.215188116062752	0.062758880381574	0	1.62870438403135	2.56410256410256	16.286799620133	16.5071770334928	19.6078431372549	19.8019801980198	19.7862178758244	3.70820317019553	35.9028194361128	52.0290625553783	23.5539256542757	43.3317399617591	27.6564285234223	1.53472767506603	2.92474662836166	2.05651390319258	1.18970608915764	0.580900007745333	2.64336146030653	0.937627395026498	0.738677645919109	0	1.09077463486781	1.07318959682877	1.24380435799121	2.64475743348983	0	0	NA	2.34653651210813	NA	2.93494029684187	10.5278228500525	10.094080752646	8.50852381316413	13.3077980750344	3.8659793814433	11.7922984618741	14.4654088050314	9.63543987877707	5.33036076205918	29.523572377158	29.8135141680794	8.88506735454285	7.17488789237668	3.56469580119966	3.01468976101732	5.67628932857606	14.5840625364602	6.34062865892101	3.75838926174497	2.26770901712717	2.65106281347026	5.35313901345291	5.49636037556704	9.53157620041754	8.68474495281328	3.75077978789769	9.25751879699248	5.97926155635236	7.04929334712168	7.13788300835655	4.31419220470098	5.67457072771872	22.7368935200261	19.0400564672666	8.92442610265669	14.8769100169779	25.0492664768995	15.888042807162	27.6544929843766	26.7503516935397	44.316565369197	26.8983112623011	42.3968594918895	32.8787039601219	20.1238938053097	29.3279766252739	14.446227929374	9.60654796094199	8.37713534822602	10.1035196687371	4.04893935393011	6.62093337490905	1.81572813151761	4.41667697637016	1.83251888049756	2.10813492063492	2.2537820314912	0.655093350802489	0.745550745550746	9.49483514928541	4.69533104721709	0	1.22490947293129	0.588088088088088	4.78875760830648	2.08353153838836	3.23087807562299	3.74317871759891	0.189295039164491	10.4367301231803	7.96751111970605	4.12631331807243	0.389040642330933	0.529128248113998	1.81956027293404	0.508628519527702	0.838047349675257	5.32128514056225	0.0920568122041031	0.46063965246049	14.8671751709627	7.12837837837838	4.35951875442321	1.22306348281887	2.60298777727478	16.0646740339687	8.64602169981917	3.9238679415479	1.63363363363363	1.16726761596284	0.716395056327245	9.97960372960373	s:Askenasia_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0528122524425667	0	0	0	0	0	0	0	0	0	0.97599577947771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Aspidisca_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0924385283786282	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Chilodonella_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.0375445841937301	NA	0	0	0	0.0535127283846801	0	0	0	0	0	0	0	0	0.105092194516098	0	0	0.153475115106336	0	0	0.0360262991984148	0.178970917225951	0.0656442083905234	0.214951038930021	0.364349775784753	0	0	0.0836220284314897	0	0	0.0484543075879446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0866015093405914	0	0	0.0926211793763507	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966930961129375	0	0	0	0	0	0	0	0	0	0	0.101351351351351	0	0	0	0	0	0.288652354320765	0	0	0	0	s:Coleps_1_sp.
0	0.0850077279752705	0	0	0	0	0	0	0	0	0	0	0.165641268338855	0	0	0	0	0	0	0	0	0	0	0.266111303945389	0	0	0	0	0	0	0	0	0	0	0.180816256242466	0	0	0	0	0	0	0	0	0	NA	0.11263375258119	NA	0.122754156902131	0.0859024529922688	0.352802822422579	0.32107637030808	0.10803378511098	0	0	0	0	0	0	0	0.0764306869207987	0	0	0	0	0.0175008750437522	0.0540394487976223	0	0	0	0	0	0.0326200417536534	0	0	0.093984962406015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0438020148926851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225903614457831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Cyclidium_glaucoma
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.244039797259245	NA	0	0	0.107800862406899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454132606721163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Cyrtolophosis_mucicola
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36999334031015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Hausmanniella_discoidea
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28502521376891	0	0	0	0.827740492170022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Hemiholosticha_kahli
