X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	taxa
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	2.83446712018141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Cercomonas_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	1.98511166253102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Cyphoderia_compressa
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0.453514739229025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339750849377123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Cyphoderia_sp.
0	0	0	0	0	0	0	0	0	0	5.35714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63487738419619	0	6.5359477124183	0	0	0	0	0	0	1.60919540229885	0	0	0	0	0	0	0	0	NA	0	NA	2.03389830508475	0	0	0.33167495854063	0	0.113378684807256	0	0.970873786407767	0	0	0	0	0	0	0	0	0.495049504950495	0	0	0	0	0.505050505050505	0	0	0	0	0.949367088607595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32275132275132	0	0	0	0	0	0	0	0	0	0.46189376443418	0	0.216450216450216	0.104712041884817	0	0	0	0	37.7708978328173	15.1187904967603	0	0	0	1.04011887072808	0	0	0	0	0	0.778210116731518	0	17.4311926605505	0	0	0	0	0	0	7.79054916985951	0	3.55329949238579	0	0	0	0	0	0	s:Paracercomonas_sp.
3.24723247232472	6.5359477124183	0	0	0	0	0	0	0	0	0	0	11.6040955631399	0	0	0	0	0	0	0	0	0	0	9.53984287317621	0	0	0	0	0	0	0	0	0	0	12.9353233830846	0	0	0	0	0	0	0	0	0	NA	1.27610208816705	NA	1.01694915254237	0.719424460431655	1.39593908629442	2.65339966832504	0.785340314136126	8.39002267573696	1.3437849944009	0	0	0.413793103448276	0	0	0	0	0	0	9.40594059405941	0	0	0	0	0	0	0	0	0	0	8.86627906976744	0	0	0	0	0	0	0	0	0	0	8.46560846560847	0	0	0	0	0	0	0	0	0	0	5.7757644394111	0	0	0	0	0	0	0	0	0	0	6.34146341463415	2.87037037037037	0	0	0	0	3.9453717754173	0	5.51470588235294	0	5.21064301552106	6.00375234521576	25.2595155709343	5.81967213114754	0	1.16731517509728	0	0	1.91082802547771	7.33333333333333	0	0	6.65932856356632	0	0	0	0	0	0	0	0	0	0	s:Peregrinia_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	1.8140589569161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.743494423791822	0	4.13223140495868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Sandona_sp.
0	0	100	0	0	0	0	0	0	16.4206642066421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	4.5643153526971	0	0	0	0	0	0	0	0	0	1.91919191919192	0	0	3.0438010393467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36268343815514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Teretomonas_rotunda
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	2.48138957816377	1.10344827586207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Tremula_longifila
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13821138211382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Tremula_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.80116959064327	0	0	NA	5.68445475638051	NA	2.71186440677966	2.51798561151079	2.15736040609137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536193029490617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69284064665127	0	1.62337662337662	1.67539267015707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.20881971465629	0	0	0	5.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Vampyrella_sp.
