X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	taxa
0	0	0	0	0	0	0	2.73483947681332	0	0	5.35714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63487738419619	0	6.5359477124183	0	0	0	0	0	0	1.60919540229885	0	0	0	0	0	0	0	0	NA	0	NA	2.03389830508475	0	0	0.33167495854063	0	3.6281179138322	0	0.970873786407767	0	0	0	0	0	0	0	0	0.495049504950495	1.11821086261981	0	0	0	0.505050505050505	0	0	0	0	0.949367088607595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398803589232303	0	0	0	0	1.32275132275132	0	0	0	0	0	0	0	0	0	0.46189376443418	0	0.216450216450216	0.104712041884817	0	0	0	0	37.7708978328173	15.1187904967603	0	0	0	1.04011887072808	0	0	0	0	0	0.778210116731518	0	17.4311926605505	0	0	0	0	0	0	7.79054916985951	0	8.62944162436548	0	0	0	0	0	0	o:Cercomonadida
8.33948339483395	11.1111111111111	0	0	19.0359477124183	0	0	0	0	11.8081180811808	6.25	0	18.0887372013652	0	0	0	0	0	0	0	0	0	0	19.9775533108866	0	0	0	0	0	0	0	0	0	0	25.6218905472637	0	6.26865671641791	0	1.92307692307692	0	0	1.0233918128655	0	0	NA	0.348027842227378	NA	4.40677966101695	8.27338129496403	5.71065989847716	13.1011608623549	17.8010471204188	39.0022675736961	2.91153415453527	11.2621359223301	10.1736972704715	5.6551724137931	14.2259414225941	15.3526970954357	26.7676767676768	2.88461538461538	2.40963855421687	12.4700239808153	31.1881188118812	6.54952076677316	0	22.9222520107239	12.8529698149951	10.7070707070707	16.9354838709677	4.77290223248653	8.68596881959911	42.962962962963	31.6455696202532	23.1104651162791	19.605077574048	27.5193798449612	17.8438661710037	8.24742268041237	9.50413223140496	2.44565217391304	0	0	0	0	26.984126984127	0	0	0	2.93501048218029	0	0	0.336943441636582	4.23280423280423	15.3846153846154	49.2857142857143	27.0668176670442	16.6666666666667	4.02097902097902	3.87409200968523	0	0	0.549450549450549	0	0	0.216450216450216	1.04712041884817	16.0975609756098	8.37962962962963	18.3908045977011	45.2054794520548	1.85758513931889	0	16.8437025796662	7.78947368421053	2.57352941176471	1.63447251114413	22.0620842572062	12.9455909943715	12.1107266435986	15.327868852459	1.8957345971564	2.85343709468223	0	15.5963302752294	26.3269639065817	6.66666666666667	0	0	5.33847000550358	2.47422680412371	0	0	0	0	26.3636363636364	6.47482014388489	0	7.53968253968254	2.42424242424242	o:Cryomonadida
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0.453514739229025	0	0	1.98511166253102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30813953488372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339750849377123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	o:Euglyphida
0	0	100	6.47682858738135	0	0.646678424456202	0	2.85374554102259	0	16.4206642066421	0	0	0	0	0	15.1712887438825	0	0	0	8.58806404657933	0	0	0	0	3.0678648899907	0	20.0272479564033	0	0	3.37950138504155	0	1.47702407002188	38.0681818181818	0	0	0	0	0	0	3.49877949552482	0	0	0	0	NA	0	NA	0	0	0	1.82421227197347	0	2.72108843537415	0	0	0	0	0	4.5643153526971	0	0	0	2.15827338129496	2.1039603960396	0	1.78571428571429	0	0	2.52525252525253	0	0	3.71195248700817	0	0	1.01744186046512	1.41043723554302	1.93798449612403	2.04460966542751	0	5.78512396694215	0	0	0.971547536433033	0	0	0	0	0	0	2.62054507337526	0	0	0	0	0	2.85714285714286	0	0	0	0.484261501210654	0	0	1.0989010989011	0	0.3690036900369	0.649350649350649	0.628272251308901	0	0.740740740740741	0	0	0	4.53563714902808	0	26.8421052631579	1.83823529411765	0	0	0	0	0	0	0	0	0	0	13.3333333333333	0	0	0	0	0	0	0	0	0	3.71702637889688	0	29.3650793650794	0	o:Glissomonadida
0	0	0	0	0	0	0	0	0	0	0	0	0	18.0404354587869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.798722044728434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	o:Limnofilida
2.5830258302583	10.6209150326797	0	80.2903405918481	66.3398692810458	67.4309229864785	63.2478632478632	33.1747919143876	37.7777777777778	31.3653136531365	73.2142857142857	25.6756756756757	8.87372013651877	74.6500777604977	66.852886405959	45.1876019575856	31.5934065934066	55.5869872701556	49.6746203904555	18.3406113537118	82.7197595792637	54.3018335684062	88.135593220339	4.82603815937149	81.0660055779362	89.086635325722	68.9373297002725	70.6609017912292	93.4640522875817	11.3573407202216	13.2837407013815	0	0	81.8713450292398	4.22885572139304	96.4367816091954	62.6865671641791	61.8705035971223	53.2051282051282	37.5101708706265	64.7058823529412	5.4093567251462	45.4361054766734	77.8675282714055	NA	1.85614849187935	NA	10.8474576271186	0	2.28426395939086	1.82421227197347	2.35602094240838	0.793650793650794	2.79955207166853	3.49514563106796	4.21836228287841	4	0.836820083682008	6.22406639004149	6.06060606060606	8.17307692307692	11.4457831325301	2.15827338129496	0	1.59744408945687	7.14285714285714	7.77479892761394	13.3398247322298	12.5252525252525	18.9516129032258	5.54272517321016	8.01781737193764	3.7037037037037	6.32911392405063	2.47093023255814	2.96191819464034	0	3.53159851301115	1.54639175257732	2.89256198347107	1.83423913043478	2.42774566473988	1.80430256766135	2.87334593572779	3.8563829787234	0	4.23076923076923	1.74650698602794	4.08773678963111	5.0314465408805	3.39588918677391	2.49307479224377	0.98676293622142	5.29100529100529	0	0	1.58550396375991	4.76190476190476	0	2.09846650524617	1.07238605898123	1.57016683022571	1.92307692307692	4.6189376443418	5.2890528905289	5.51948051948052	4.92146596858639	3.2520325203252	3.56481481481481	0	0	24.922600619195	50.1079913606911	29.8937784522003	40.4210526315789	46.078431372549	62.704309063893	14.5232815964523	2.06378986866792	17.9930795847751	10.655737704918	66.3507109004739	1.81582360570687	39.7111913357401	0	0.849256900212314	42.6666666666667	50.7739938080495	46.1318051575931	0.770500825536599	55.0515463917526	9.57854406130268	52.1875	42.1319796954315	55.4347826086957	12.7272727272727	45.3237410071942	84.0041279669763	21.8253968253968	2.02020202020202	o:Novel-clade-10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0.50761421319797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	o:Novel-clade-12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1286549707602	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0.793650793650794	0	0.970873786407767	0	0.96551724137931	0	3.3195020746888	3.03030303030303	3.36538461538462	0	0	0	0	0	2.94906166219839	0	0	0	1.4626635873749	3.19227913882702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36101083032491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.770500825536599	0	0	0	0	21.7391304347826	0	0	0	0	0	o:Pansomonadida
3.83763837638376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4235807860262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.1294964028777	0	0	0	0	0	0	NA	0	NA	0	7.19424460431655	3.68020304568528	5.63847429519071	0	2.04081632653061	1.9036954087346	0	8.18858560794045	4	5.85774058577406	0	0	0	4.81927710843374	0	4.95049504950495	7.66773162939297	0	0	1.16845180136319	0.202020202020202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19281663516068	0	0	0	0	0	0	2.85969615728329	0	0	0	0	11.4285714285714	2.15175537938845	7.14285714285714	4.37062937062937	1.85633575464084	1.60857908847185	0	2.1978021978022	0	0	1.40692640692641	0	3.57723577235772	3.00925925925926	0	0	0	0	0	0	0	0	1.10864745011086	4.69043151969981	0	0	0	0	0	0	0	10.6666666666667	0	0	2.25646670335718	0	0	0	0	0	0	0	0	0	3.03030303030303	o:Spongomonadida
5.38745387453875	9.96732026143791	0	0	0	0	0	0	0	0	0	0	21.8430034129693	0	0	0	0	0	0	0	0	0	0	18.7429854096521	0	0	0	0	0	0	0	0	0	0	25.1243781094527	0	0	0	0	0	0	0	0	0	NA	1.27610208816705	NA	5.08474576271187	11.8705035971223	4.56852791878173	5.4726368159204	3.92670157068063	20.2947845804989	4.81522956326988	4.66019417475728	12.4069478908189	2.06896551724138	0	0	0	0	0	0	17.5742574257426	0	0	0	0	0.808080808080808	4.63709677419355	2.46343341031563	3.71195248700817	1.97530864197531	6.64556962025316	16.4244186046512	14.1043723554302	13.1782945736434	5.76208178438662	12.3711340206186	14.0495867768595	0.611413043478261	0	0	0	0	15.8730158730159	0	0	0	0	0	0	0	0	0	0	9.28652321630804	0	0	0.726392251815981	0	0	0	0	0	0	0	10.4065040650407	4.9537037037037	0	0	0	0	3.9453717754173	0	8.45588235294118	0	11.6407982261641	6.00375234521576	25.2595155709343	47.4590163934426	2.13270142180095	1.94552529182879	0	0	4.88322717622081	7.33333333333333	0	0	11.5024766097964	0	0	0	0	0	0	0	0	0	0	o:Thaumatomonadida
