Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
p:Cryptophyta-Cryptophyta_X	2792	4018	822	5527	1967	2154	1651	925	1579	531	1736	702	4396	4073	3295	10158	909	960	2213	550	1054	725	682	5084	1965	1728	743	1131	1878	4313	669	1534	2510	2716	4968	4453	2940	1952	2037	3449	1155	4675	740	478	0	2155	0	2982	5193	5713	7391	12382	13113	14046	11012	11247	7490	7673	4977	6099	4353	5316	9385	6219	6274	4189	7829	17638	9288	4619	8167	6389	8506	10798	5407	10259	3744	4751	3625	3162	14917	4647	6934	6516	9970	4261	9858	6042	6477	7762	3960	4911	10527	4195	4249	5009	3818	4635	7130	20070	5969	8728	5100	4855	4419	3473	3384	4163	3640	625	171	2245	1108	1697	977	5758	3684	4607	7417	529	6965	680	1972	907	162	2880	1831	2960	5825	4433	1672	1761	781	1233	1143	440	1111	687	1071	6650
p:Evosea-Evosea_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	93	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	86	0	0	20	3	0	0	3	0	12	8	30	12	5	0	3	0	0	6	0	7	11	0	8	0	28	0	5	12	0	7	0	0	0	0	15	12	15	27	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0
p:Haptophyta-Haptophyta_X	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Kathablepharidacea-Kathablepharida	75	244	0	0	164	0	169	0	0	44	21	0	191	0	0	0	0	0	0	0	0	0	21	446	209	176	0	0	80	0	0	0	0	179	184	0	89	56	0	19	0	75	0	0	0	191	0	131	436	567	848	386	103	244	1354	1599	633	189	265	355	297	191	616	108	232	367	300	1805	1205	1490	1711	2553	1741	985	108	1991	767	767	283	353	974	303	173	162	105	140	120	148	162	519	287	171	297	355	96	118	281	131	179	657	60	131	47	67	53	34	27	431	226	0	0	0	0	121	0	175	0	244	211	71	209	0	155	49	50	314	98	54	0	75	79	73	0	0	0	0	0	0	0	282
p:Opisthokonta-Choanoflagellata	942	206	0	45	0	72	0	0	0	0	0	21	108	158	0	0	0	0	0	39	36	86	0	101	133	0	46	51	17	59	0	0	0	0	59	71	77	0	17	20	0	237	60	68	0	113	0	137	57	115	85	48	221	120	233	298	386	145	151	136	105	31	85	298	82	74	42	147	58	63	105	64	162	87	326	154	93	158	136	122	183	77	132	321	128	338	141	219	319	528	619	295	1512	528	21	42	252	44	126	284	52	152	224	248	319	578	743	366	1245	16	31	16	0	147	110	196	30	188	275	47	38	0	107	60	0	63	0	143	0	665	51	26	60	38	0	55	0	0	35	48
p:Opisthokonta-Ichthyosporea	18	14	0	0	0	0	27	14	0	0	0	0	0	0	0	0	0	0	94	85	49	0	0	0	0	0	0	388	29	0	145	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	10	0	0	6	6	0	5	63	0	0	0	46	92	117	15	20	18	8	6	0	17	16	47	4	0	0	0	36	26	0	0	18	26	4	40	66	53	31	33	0	0	16	0	0	0	0	0	0	0	0	9	0	0	83	0	0	0	44	46	168	0	0	14	0	0	0	10	0	35	0	0	0	0	228	9	0	0	24	0	16	0	0	0	0	15
p:Opisthokonta-Pluriformea	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Rhizaria-Cercozoa	1355	612	104	1791	1224	1701	702	841	1080	542	336	222	293	643	537	1226	728	707	922	687	1331	709	590	891	3227	2978	734	1619	612	1805	1882	1828	176	171	402	1740	335	139	468	1229	238	684	986	619	0	862	0	295	278	788	603	382	882	893	515	403	725	239	241	198	208	166	1251	808	626	336	746	2054	990	496	1299	1347	405	316	688	709	258	538	194	242	1472	865	1441	2645	752	567	1040	2004	1003	954	1119	361	4155	378	91	140	883	84	572	1239	373	1019	728	433	813	924	955	615	2160	261	73	646	463	659	950	816	673	902	533	289	1220	422	771	277	109	471	300	323	698	1817	485	783	320	394	368	110	834	969	504	495
p:Rhodophyta-Rhodophyta_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	0	230	0	0	0	0	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
p:Rigifilida-Rigifilida_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	3	0	22	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Stramenopiles-Bigyra	385	335	1429	2697	2405	2783	3611	1666	3339	663	1118	1823	125	4070	2493	5746	1978	4382	2638	1009	4197	801	1614	302	4416	6206	4024	2006	2817	3312	2373	1545	550	1314	133	3131	2728	1048	1427	1811	652	267	675	951	0	95	0	191	274	483	519	367	286	325	252	403	280	130	189	198	135	130	458	371	375	341	342	797	547	332	474	266	351	206	371	491	125	263	184	312	580	280	376	513	167	503	309	485	354	779	477	223	849	732	51	58	492	183	185	699	77	150	122	191	202	159	192	296	682	1838	1477	1145	1817	1650	1881	2090	2634	690	204	308	808	736	61	766	683	162	1011	2903	1622	228	1529	2650	1763	2177	1201	645	963	717	760	156
p:Stramenopiles-Gyrista	7108	7130	4096	11101	3727	2590	3247	1361	1856	1758	1616	1830	3810	3907	1648	21098	5869	13618	12966	5579	9273	4473	5413	3685	10551	10765	6610	10087	11675	10226	5285	4542	3366	1920	2805	7740	6438	4353	6100	12276	6363	17897	8779	5514	0	6200	0	5845	2643	4266	4023	2209	8705	3641	2782	3404	3765	2846	3417	4434	2299	3860	31676	5638	5983	3812	13847	6492	2753	4393	8706	7852	9234	14228	5266	33838	11083	11486	9485	8078	7572	4831	2694	4325	2098	6510	2366	3190	3693	3406	3803	2421	2050	2352	2002	2194	8796	533	926	5120	3488	4405	6280	5826	4169	10934	11826	5357	12930	6370	3090	9830	8128	8025	7917	7304	5318	19095	7854	3267	5075	2628	11688	2377	2253	6805	3762	8475	11446	8057	9832	6347	8395	5151	6036	2996	9672	3221	6931	6242
p:Stramenopiles-Stramenopiles_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Telonemia-Telonemia_X	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Tubulinea-Tubulinea_X	0	0	0	0	0	0	0	45	0	0	0	0	0	0	3	0	0	0	0	65	0	0	0	0	0	0	0	0	166	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	25	12	6	0	5	0	0	0	0	0	0	0	0	0	13	0	0	4	3	12	0	0	11	8	24	10	0	0	23	0	5	13	0	18	10	0	4	32	31	22	0	0	2	17	0	4	0	0	0	0	117	6	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	18	0	0	0	0	54	0	0
Unclassified	1496	60	417	1317	828	574	710	169	983	278	210	416	33	863	251	650	0	154	115	159	56	171	43	57	0	216	6	209	124	79	152	2	44	4	14	75	96	0	93	91	0	11	8	0	0	16	0	46	17	42	94	49	351	27	298	272	88	257	764	1218	441	295	81	150	114	56	38	76	41	7	60	31	28	43	125	72	16	33	11	10	72	48	62	81	54	116	48	65	50	54	24	52	101	55	15	4	125	8	8	18	0	0	0	0	0	2	3	64	2226	255	170	86	251	521	898	776	1741	106	157	465	716	909	17	102	656	11	724	1582	456	254	1199	1773	287	297	583	865	1510	246	748	28
