X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	Family
0.0968418787324474	0.0536665772223713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048854365137525	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.031198003327787	0.024931438544004	0	0	0.0430121230465327	0	0	0	0	0	0	0.0211673810657776	0.0652485971551612	0.052415480038438	0.0270846734604056	0.0149678191887442	0	0.0289081231826143	0.0716396525476851	0.192923405303341	0.0225568149777251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.269026319201348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017191730777496	0	0	0	0	0	0	0	0	0	0	f:Abeoformidae_Group_MAIP_2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0.008310479514668	0	0	0	0	0.0156793878766973	0	0.0061231362703977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f:Actinocephalidae
0	0	0.53426487208466	0	0	0	0	0	0	0.368209838235903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157188438438438	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0.0109031437397783	0	0.0263019463440295	0	0	0	0	0	0.0571963394342762	0	0	0	0.0350469150749526	0.0693368137694755	0	0.0280504908835905	0	0	0.0678498732278685	0	0	0.145598555662328	0	0	0.0294340257337482	0.0170047783427143	0.0223873914211516	0.0287332731302849	0	0.0207501167194065	0	0	0	0	0	0	0	0	0	0.0783772768598928	0	0	0	0	0	0.0270325065891735	0	0	0	0.0154782788153957	0	0	0	0	0	0.0298849429695672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f:Allapsidae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.0327225130890052	NA	0	0.0150217815832958	0	0.0109031437397783	0	0	0.0347729327491481	0.1038381662949	0.34944480731548	0.120887206979922	0	0.031198003327787	0.024931438544004	0	0	0.00159304159431603	0	0	0	0	0.0170962089156729	0	0.100545060062444	0	0	0.0575549311033619	0.0199570922516589	0	0	0	0.0533617929562433	0.0958664636553319	0.0830004668776262	0	0	0	0	0	0.0422261633307998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418848167539267	0	0	0	0	0	0	0	0	0	0	0.0604464401364362	0	0	0	0	0	0	0	0	0	0	0	0.180583025195632	0	0.31812725090036	0	0	0	0	0	0	0	f:Alphamonaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0.0130633572828217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f:Amoebidianae
0	0.0229999616667306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00854810445783647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0777987060846778	0	0	0	0.0506756756756757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f:Amphifilaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0254550082728777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f:Amphitraemidae
0	0.0153333077778204	0	0	0	0	0	0	0	0	0	0	0.0443926530159259	0	0	0	0	0	0	0	0	0	0	0.0876117049237778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00639427073342285	0.0555555555555556	0	NA	0	NA	0	0	0.0175901495162709	0.0436125749591132	0.0264610266878355	0	0.0104318798247444	0	0	0	0	0	0	0	0	0	0	0.0219511430273762	0	0	0	0	0	0	0.0116478844529862	0.104953109659072	0.027441001846031	0	0.0204057340112572	0.0761171308319155	0.135456859042772	0.310156205943721	0.60175338486279	0	0	0	0	0	0	0.020081934291911	0	0	0.0658369125623099	0	0	0	0.0276759150349408	0	0	0.023731360993553	0	0	0.0206377050871943	0	0	0.0228362639872117	0.0794005260284849	0.0516757714454451	0.0149424714847836	0.0683495853458489	0	0.0551017762219629	0	0	0.0751846446419884	0	0.0737040373433789	0	0	0	0.106177606177606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f:Ancyromonadida_Group-1
0.134502609350621	0.0536665772223713	0.637008116716326	0.315410479959532	0	0	0	0	0	0	0.0814806192527063	0	0.0499417346429166	0	0.0123839009287926	0	0	0	0	0	0	0	0	0.0175223409847556	0	0	0	0	0	0	0	0	0	0	0.102594166788803	0	0.163528477316264	0	0.0150043137402003	0.0672043010752688	0	0.00319713536671143	0.583333333333333	0	NA	0.0589005235602094	NA	0.0264984895860936	0.0650943868609484	0.0659630606860158	0.0545157186988915	0.00378014666969078	0.00986322987901105	0.0452048125738925	0.138450888393201	0.352710646636186	0.420477241669295	0.0239329876346231	0.0519966722129784	0.029086678301338	0.0578183219838109	0.0320836006966725	0	0.122359083122604	0.0470381636300919	0.018700327255727	0.0183694088111931	0.0256443133735094	0.0249973217155305	0	0	0	0	0	0.319569422252123	0	0	0.0246285198259585	0.0281960187221564	0	0.0102716860972729	0	0	0	0	0.177349885989359	0	0	0	0	0	0	0	0	0	0	0.122612031800024	0	0	0	0	0.00428027222531353	0.00913450559488468	0.0347377301374622	0	0.024904119141306	0.0501230292536225	0.157068062827225	0.265785038247115	0.436732306492494	0.412714502932445	1.60983592056963	1.06040996952365	1.37580869707641	1.25843378060799	0.611569695551917	0.231738035264484	0.0506756756756757	0.0777168516039895	0.631597942795272	0.080988767210113	0.121231714216439	0	0.0672319127479177	0.0390278516941636	0.0816224022100835	0	0	0	0.0773627884987321	0.395562817095193	1.95258019525802	0.894357743097239	0.289017341040462	0.0500796722057819	0.157728706624606	0.372020926177097	0	0	0	f:Apoikiaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0291149068322981	0	0	0	0	0	0	0	0	0	0.119927395306625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f:Aspidiscidae
