X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	Species
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287742183004028	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0.0239329876346231	0.0727953410981697	0.04155239757334	0	0	0.0525703726124289	0	0	0.0841514726507714	0.0306156813519885	0.00854810445783647	0.014284183837446	0	0.0260994388620645	0	0.033855841825507	0.0124731826572868	0	0.0187052561769857	0	0.0451522863475905	0.0281960187221564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355970414903295	0	0.0194099378881988	0	0	0	0.013701758392327	0	0.0442935183818101	0	0.0364531121844527	0.0104712041884817	0.0162064047711656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0587422252937111	s:Acanthoceras_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0.0166472448809722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0.00384585801092224	0	0	0	0	0.008310479514668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00429793269437401	0	0	0	0	0	0	0	0	0	0	s:Acrispumella_msimbaziensis
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0.0150217815832958	0	0	0	0	0	0.0115375740327667	0.0816459830176355	0.0630715862503942	0	0.031198003327787	0.024931438544004	0	0	0.00159304159431603	0	0	0	0	0.0170962089156729	0	0.0158755357993332	0	0	0.0575549311033619	0.0199570922516589	0	0	0	0.0533617929562433	0.0958664636553319	0.0830004668776262	0	0	0	0	0	0.0422261633307998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418848167539267	0	0	0	0	0	0	0	0	0	0	0.0604464401364362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Alphamonas_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0.0130633572828217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Amoebidium_appalachense
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02194563752077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Amphora_ovalis
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232174182230936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Amphora_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0.0361651762230405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101567525476521	0	0	0	0	0.0246285198259585	0	0	0.0308150582918186	0	0	0.0118910777280114	0	0	0	0	0.0341263650546022	0	0	0	0	0.193731405244586	0	0	0	0	0.0339673913043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Angulamoeba_microcystivorans
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0.00979751796211626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0197761341612942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.615899943272374	0	0	0	0	0	0	0	0	0	0	0	s:Anurofeca_sp.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0.0163291966035271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s:Apocyrtolophosis_sp.
0.134502609350621	0.0536665772223713	0.637008116716326	0.315410479959532	0	0	0	0	0	0	0.0814806192527063	0	0.0499417346429166	0	0.0123839009287926	0	0	0	0	0	0	0	0	0.0175223409847556	0	0	0	0	0	0	0	0	0	0	0.102594166788803	0	0.163528477316264	0	0.0150043137402003	0.0672043010752688	0	0.00319713536671143	0.583333333333333	0	NA	0.0589005235602094	NA	0.0264984895860936	0.0650943868609484	0.0659630606860158	0.0545157186988915	0.00378014666969078	0.00986322987901105	0.0452048125738925	0.138450888393201	0.352710646636186	0.420477241669295	0.0239329876346231	0.0519966722129784	0.029086678301338	0.0578183219838109	0.0320836006966725	0	0.122359083122604	0.0470381636300919	0.018700327255727	0	0.0256443133735094	0.0249973217155305	0	0	0	0	0	0.319569422252123	0	0	0.0246285198259585	0.0281960187221564	0	0.0102716860972729	0	0	0	0	0.177349885989359	0	0	0	0	0	0	0	0	0	0	0.114701578135506	0	0	0	0	0.00428027222531353	0.00913450559488468	0.0347377301374622	0	0.024904119141306	0.0501230292536225	0.157068062827225	0.265785038247115	0.436732306492494	0.412714502932445	1.60983592056963	1.06040996952365	1.37580869707641	1.25843378060799	0.611569695551917	0.231738035264484	0.0506756756756757	0.0777168516039895	0.631597942795272	0.080988767210113	0.121231714216439	0	0.0672319127479177	0	0.0816224022100835	0	0	0	0.0773627884987321	0.395562817095193	1.95258019525802	0.894357743097239	0.289017341040462	0.0500796722057819	0.157728706624606	0.372020926177097	0	0	0	s:Apoikiospumella_sp.
