1	10	100	101	102	103	104	105	106	107	108	109	11	110	111	112	113	114	115	116	117	118	119	12	120	121	122	123	124	125	126	127	128	129	13	130	131	132	133	134	135	136	137	138	139	14	140	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	48	49	5	50	51	52	53	54	55	56	57	58	59	6	60	61	62	63	64	65	66	67	68	69	7	70	71	72	73	74	75	76	77	78	79	8	80	81	82	83	84	85	86	87	88	89	9	90	91	92	93	94	95	96	97	98	99
ASV_1	817	959	0	68	733	3	836	110	0	276	29	146	2794	310	10	2500	363	0	186	19	0	0	27	3289	0	0	0	0	0	0	4	0	438	619	3293	0	788	722	93	196	0	1721	19	0	0	1142	0	1313	1509	1743	3689	7090	10658	9937	8389	8474	5238	4247	1214	3093	2191	3114	4244	3914	1155	1023	3079	8699	4270	2574	4633	3738	5216	6768	3098	5284	2039	2485	2052	886	1542	743	630	1491	723	1422	791	468	644	887	208	547	277	131	999	1526	2234	725	1173	3827	2017	2969	1746	2211	1428	1263	1242	2094	938	9	30	39	552	249	399	2280	85	1419	4666	155	5262	42	1139	110	37	1464	257	1215	2298	2466	441	710	132	29	75	242	128	0	290	902
ASV_2	217	175	1059	607	0	43	71	122	76	261	246	87	662	556	71	1774	1745	362	525	169	765	225	228	1075	154	0	132	256	7124	182	56	2621	6331	8685	1063	1964	1165	8581	5062	8186	2251	269	75	0	0	690	0	3776	384	650	1135	681	186	140	497	331	619	1476	500	620	122	311	49	1365	1219	860	898	202	492	129	2007	367	435	2836	1025	748	1068	396	625	1354	1651	926	986	1437	902	1598	1206	907	44	1649	1021	3031	636	0	1656	2148	1824	6132	5466	1325	3156	2230	2403	891	208	161	83	1216	59	742	3226	146	1067	760	3538	630	2246	163	531	2397	269	977	874	4682	528	193	67	678	0	1246	163	0	302	1594	229	152	285	793	30	976
ASV_3	1661	1110	276	0	77	34	0	40	0	19	0	0	605	287	0	0	273	0	133	410	226	174	124	524	272	651	154	140	330	101	73	82	209	352	316	174	417	136	201	130	0	508	0	0	0	437	0	446	2090	2233	1184	2288	1683	833	1029	1335	681	2079	2528	1434	1020	683	1189	1667	3643	1841	1167	1345	1310	693	1521	562	490	633	1179	1181	491	624	502	1522	11619	3106	5152	4046	8132	2084	7987	4794	4756	5691	2923	3778	7017	2066	580	467	654	854	1547	5395	783	1416	496	436	496	287	334	1206	2243	36	141	24	155	71	0	1107	97	1160	1104	45	137	20	371	85	0	732	127	451	597	744	25	229	23	100	136	61	222	0	175	3651
ASV_4	926	2616	0	243	449	0	194	0	42	313	78	447	1746	175	8	430	97	0	0	533	0	173	273	655	591	745	0	0	550	0	0	0	1270	54	604	36	172	200	166	860	153	2914	595	21	0	362	0	643	494	482	729	479	2204	666	248	92	231	250	311	907	457	2048	22597	1028	1185	818	9666	2393	560	729	2944	2648	1727	4485	809	4988	2271	1724	727	603	1374	1237	1018	2319	1108	495	664	1688	2520	1631	2284	1655	415	718	1512	798	1437	76	37	393	285	421	756	1890	331	3062	4123	1127	1337	62	74	0	182	174	194	508	48	7857	1116	801	206	54	794	248	131	834	261	295	1371	1747	0	74	84	124	102	0	79	191	4099	1448
ASV_5	11	49	0	0	0	0	0	0	0	37	0	0	7	0	0	0	0	28	0	0	0	32	94	0	57	0	1067	0	0	2188	6036	18572	13469	6916	0	5444	1591	267	236	160	0	0	0	0	0	0	0	6	504	447	150	363	89	40	49	15	5	37	74	21	15	0	78	216	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	184	0	0	0	19	0	9	88	323	211	88	57	86	55	51	16	11	4	0	0	0	0	64	48	4312	10485	4536	4812	896	1099	2255	1620	78	48	215	0	0	0	77	3718	44	2138	14811	1315	24	768	256	176	515	1170	1015	403	341	861	0
ASV_6	1281	203	0	0	0	0	740	74	0	295	52	512	210	1452	51	8543	1685	51	98	56	0	84	174	242	307	0	0	0	0	0	0	0	0	215	146	0	498	38	375	1990	1108	7460	846	63	0	722	0	702	494	1073	761	147	1480	399	178	141	195	459	383	382	183	404	361	1148	224	145	263	705	390	1496	779	353	2282	2970	592	13847	3757	4627	4596	4496	2300	1409	250	462	143	818	272	329	242	278	138	87	200	237	156	711	681	274	355	1860	1291	1208	2205	1218	1596	3565	3177	425	1931	46	29	31	0	224	154	305	0	1968	595	84	91	0	1831	117	274	2277	147	112	373	598	0	61	0	0	60	51	64	95	0	228
ASV_7	517	347	96	35	0	0	0	0	0	38	18	0	880	0	0	263	0	0	0	36	33	567	189	1796	524	240	0	80	571	50	113	145	619	271	1841	143	118	434	732	845	697	2768	653	905	0	360	0	420	1079	432	1037	1535	521	994	1992	1646	721	1884	673	960	524	271	1318	2022	1991	1599	698	424	123	473	272	530	698	1077	1219	882	544	612	323	180	306	831	2621	3351	2412	933	1826	2549	2072	4129	850	1604	487	623	851	775	1073	911	976	2756	2258	2383	2247	2851	772	1334	2176	1347	1115	272	173	44	105	958	94	69	130	825	982	208	370	46	304	229	25	310	121	180	0	649	0	425	65	0	152	0	0	0	116	2151
ASV_8	571	1076	166	0	181	0	0	104	0	0	0	0	485	0	0	174	0	167	43	98	95	105	57	514	0	0	0	0	443	45	64	0	153	84	698	34	399	201	69	62	0	177	0	0	0	235	0	162	1442	950	650	1307	549	757	530	871	370	1253	1310	999	782	418	912	494	2185	1188	1011	821	707	489	1055	531	399	322	1325	999	564	569	364	1065	9988	2411	3535	3364	4374	1552	5554	3200	2436	5123	1743	1829	2208	1004	489	320	440	1113	1064	5978	621	990	321	191	188	142	139	851	431	44	60	0	0	0	102	342	44	462	489	52	71	0	64	20	74	117	0	0	138	474	0	281	9	85	20	27	0	0	150	1286
ASV_9	0	0	0	132	169	445	12471	3664	1118	8077	9118	10053	0	18063	7982	6188	58	0	0	13	177	0	23	0	0	0	0	0	0	6	201	28	0	248	0	167	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	34	44	1519	836	305	1631	1599	0	1289	600	746	93	0	11	0	21	0	0	0	45	0	4	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	77	0	108	269	0	0	0	316	145	30	0	0	287	90	205	0
