"mindex","n","predictors","rsquare","adjr","rmse","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
356,4,"Max_depth T TDS ntu",0.224508488373106,0.201185435391846,0.414600115296469,0.151228061733373,35.2976046294291,160.625374118949,-232.598831525133,178.188896229892,24.617197757084,0.184817560536465,0.833799144080044,0.00135117733386481
357,4,"Fraction_size Max_depth TDS ntu",0.224280565443308,0.200950657637092,0.414661037904413,0.152629100951205,35.3455990535048,160.665927422954,-232.560915243999,178.229449533897,24.6244329411603,0.184871879841376,0.834044204072232,0.00135157445529296
358,4,"Max_depth DO TDS ntu",0.223858719614383,0.200516124715567,0.414773771482175,0.156295212926762,35.4344284118584,160.740953132755,-232.490766770098,178.304475243699,24.6378240125492,0.184972415457634,0.834497767632656,0.00135230945820902
359,4,"Fraction_size TDS ntu Color",0.22255563594857,0.199173850563565,0.415121812664876,0.158082708351507,35.7088226999563,160.972450622058,-232.274306963389,178.535972733002,24.6791890923913,0.185282970429132,0.835898827513943,0.00135457988552767
360,4,"Fraction_size T ntu Color",0.221508486026725,0.198095207410987,0.415401285073619,0.166276870997646,35.9293242417031,161.158199550498,-232.100611522164,178.721721661441,24.7124298130451,0.185532530470951,0.837024710512619,0.00135640438678699
361,4,"DO TDS ntu Color",0.219957623642462,0.196497702549002,0.415814847512116,0.15859836503454,36.2558940476429,161.43284109791,-231.843771514637,178.996363208854,24.7616603789959,0.185902136840962,0.838692179091187,0.00135910653125942
362,4,"Fraction_size T DO Color",0.219671878892585,0.196203363972062,0.415891001086558,0.16259397750943,36.316064188116,161.483383934997,-231.796502091811,179.04690604594,24.7707310585717,0.185970236422733,0.838999408408724,0.0013596043985133
363,4,"T DO ntu Color",0.217430425888625,0.193894498847682,0.41648788568152,0.164775653679382,36.7880537598242,161.879213716519,-231.426279918441,179.442735827462,24.8418837288904,0.186504426507393,0.841409391713734,0.00136350979328354
364,4,"Fraction_size DO ntu Color",0.216851921249631,0.193298595572929,0.416641798937529,0.163986799074844,36.9098712399621,161.981190779456,-231.330891958108,179.544712890399,24.8602477765788,0.18664229754084,0.842031392942126,0.00136451775061644
365,4,"Fraction_size DO TDS Color",0.210579427186963,0.186837455072285,0.418306982871493,0.140312105084221,38.2306893793346,163.08207597175,-230.300926394745,180.645598082693,25.0593617893769,0.188137177928003,0.848775503099732,0.00137544662820854
366,4,"Fraction_size T DO TDS",0.195177199847216,0.17097200285014,0.422368022082854,0.121741143825321,41.4739832037403,165.748636852896,-227.804536193739,183.312158963839,25.5482899989542,0.191807884881053,0.865335792645475,0.0014022826930274
367,4,"Fraction_size T TDS ntu",0.193704375660991,0.169454883199667,0.422754311772907,0.120895446942237,41.7841202691303,166.000945797077,-227.568210788067,183.564467908021,25.5950433208283,0.192158892943831,0.866919355492319,0.00140484886767582
368,4,"T DO TDS ntu",0.193210119254687,0.168945761939039,0.422883865381493,0.124361702334128,41.8881973428469,166.085513398719,-227.488995907425,183.649035509663,25.6107329931383,0.19227668567518,0.867450774034434,0.00140571003513323
369,4,"Fraction_size DO TDS ntu",0.188407032754382,0.1639982217094,0.424140781076196,0.119835645407974,42.8995978657003,166.904637110932,-226.721600373852,184.468159221875,25.7632021413491,0.19342137226004,0.872614994858071,0.00141407869103017
370,4,"Fraction_size Riverine_vs_Lentic T ntu",0.177757385768754,0.153028284588867,0.426914479502242,0.121899073217937,45.1421263999631,168.703682394054,-225.035413254183,186.267204504997,26.1012644695083,0.195959429410826,0.884065367180963,0.00143263409931627
371,4,"Riverine_vs_Lentic T DO ntu",0.175704246868485,0.150913397150244,0.427447149682422,0.125499021546759,45.574462098496,169.047838741336,-224.712728871899,186.611360852279,26.1664392980821,0.196448739889794,0.886272877427118,0.00143621138508114
372,4,"Riverine_vs_Lentic Max_depth T ntu",0.175485493186122,0.150688064409765,0.427503864420297,0.114656117777032,45.6205257262704,169.084456670126,-224.678393317279,186.647978781069,26.1733834136244,0.196500873951001,0.886508078754771,0.00143659253047458
373,4,"Fraction_size Max_depth DO Transparancy",0.17265004543163,0.147767340031078,0.428238311487577,0.11083625483238,46.2175945779834,169.558214879194,-224.234125631167,187.121736990137,26.2633918496365,0.197176626720899,0.889556718069751,0.00144153287176754
374,4,"Fraction_size Riverine_vs_Lentic DO ntu",0.169111977222044,0.144122863755037,0.429152990925666,0.116698328971921,46.9626163544681,170.147097971368,-223.681799637562,187.710620082311,26.3757042650371,0.198019830193411,0.893360806445472,0.00144769742353733
