"VarA"	"VarB"	"cor"	"p"	"fdr"
"p:Opisthokonta-Choanoflagellata"	"p:Rhizaria-Cercozoa"	-0.0775313612407582	0.18	0.342
"p:Opisthokonta-Choanoflagellata"	"p:Stramenopiles-Bigyra"	-0.238823020729317	0	0
"p:Alveolata-Dinoflagellata"	"p:Opisthokonta-Choanoflagellata"	-0.0513105678080371	0.5	0.695121951219512
"p:Alveolata-Alveolata_X"	"p:Opisthokonta-Choanoflagellata"	-0.0456667561774327	0.4	0.6
"p:Alveolata-Chrompodellids"	"p:Opisthokonta-Choanoflagellata"	0.0617558632389668	0.54	0.73872
"p:Opisthokonta-Choanoflagellata"	"p:Opisthokonta-Choanoflagellata"	1	1	1
"p:Alveolata-Ciliophora"	"p:Centroplasthelida-Centroplasthelida_X"	-0.0435484627357584	0.54	0.73872
"p:Centroplasthelida-Centroplasthelida_X"	"p:Cryptophyta-Cryptophyta_X"	0.148673082638592	0.04	0.100588235294118
"p:Alveolata-Perkinsea"	"p:Centroplasthelida-Centroplasthelida_X"	-0.328407214746819	0	0
"p:Centroplasthelida-Centroplasthelida_X"	"p:Chlorophyta-Chlorophyta_X"	-0.229807810582257	0	0
"p:Centroplasthelida-Centroplasthelida_X"	"p:Stramenopiles-Gyrista"	-0.106004921119188	0	0
"p:Centroplasthelida-Centroplasthelida_X"	"p:Rhizaria-Cercozoa"	-0.229922222226666	0	0
"p:Centroplasthelida-Centroplasthelida_X"	"p:Stramenopiles-Bigyra"	-0.350103538346251	0	0
"p:Alveolata-Dinoflagellata"	"p:Centroplasthelida-Centroplasthelida_X"	0.122793473459658	0.02	0.0534375
"p:Alveolata-Alveolata_X"	"p:Centroplasthelida-Centroplasthelida_X"	0.0814993506434333	0.22	0.396
"p:Alveolata-Chrompodellids"	"p:Centroplasthelida-Centroplasthelida_X"	0.0704013612259964	0.14	0.291951219512195
"p:Centroplasthelida-Centroplasthelida_X"	"p:Opisthokonta-Choanoflagellata"	0.412588142740723	0	0
"p:Centroplasthelida-Centroplasthelida_X"	"p:Centroplasthelida-Centroplasthelida_X"	1	1	1
"p:Alveolata-Ciliophora"	"p:Kathablepharidacea-Kathablepharida"	0.0828035069914484	0.12	0.253333333333334
"p:Cryptophyta-Cryptophyta_X"	"p:Kathablepharidacea-Kathablepharida"	0.374592692829088	0	0
"p:Alveolata-Perkinsea"	"p:Kathablepharidacea-Kathablepharida"	-0.363343150840372	0	0
"p:Chlorophyta-Chlorophyta_X"	"p:Kathablepharidacea-Kathablepharida"	-0.196190112419841	0	0
"p:Kathablepharidacea-Kathablepharida"	"p:Stramenopiles-Gyrista"	-0.12705635963055	0	0
"p:Kathablepharidacea-Kathablepharida"	"p:Rhizaria-Cercozoa"	-0.188544119087796	0	0
"p:Kathablepharidacea-Kathablepharida"	"p:Stramenopiles-Bigyra"	-0.325661502074119	0	0
"p:Alveolata-Dinoflagellata"	"p:Kathablepharidacea-Kathablepharida"	0.268066541691341	0	0
"p:Alveolata-Alveolata_X"	"p:Kathablepharidacea-Kathablepharida"	-0.167104334838412	0.02	0.0534375
"p:Alveolata-Chrompodellids"	"p:Kathablepharidacea-Kathablepharida"	0.188792778931255	0.02	0.0534375
"p:Kathablepharidacea-Kathablepharida"	"p:Opisthokonta-Choanoflagellata"	0.383259931854625	0	0
"p:Centroplasthelida-Centroplasthelida_X"	"p:Kathablepharidacea-Kathablepharida"	0.470808634623613	0	0
"p:Kathablepharidacea-Kathablepharida"	"p:Kathablepharidacea-Kathablepharida"	1	1	1
"p:Alveolata-Ciliophora"	"p:Rhodophyta-Rhodophyta_X"	-0.103828543521136	0.28	0.469411764705882
"p:Cryptophyta-Cryptophyta_X"	"p:Rhodophyta-Rhodophyta_X"	-0.371106266610701	0	0
"p:Alveolata-Perkinsea"	"p:Rhodophyta-Rhodophyta_X"	0.197137837558152	0	0
"p:Chlorophyta-Chlorophyta_X"	"p:Rhodophyta-Rhodophyta_X"	0.123127271873662	0.0600000000000001	0.14054794520548
"p:Rhodophyta-Rhodophyta_X"	"p:Stramenopiles-Gyrista"	0.0744472117742799	0.34	0.533394495412844
"p:Rhizaria-Cercozoa"	"p:Rhodophyta-Rhodophyta_X"	0.0302692931590755	0.74	0.903857142857143
"p:Rhodophyta-Rhodophyta_X"	"p:Stramenopiles-Bigyra"	0.247715126788556	0	0
"p:Alveolata-Dinoflagellata"	"p:Rhodophyta-Rhodophyta_X"	-0.0459332432518255	0.24	0.4275
"p:Alveolata-Alveolata_X"	"p:Rhodophyta-Rhodophyta_X"	0.0788106606565767	0.04	0.100588235294118
"p:Alveolata-Chrompodellids"	"p:Rhodophyta-Rhodophyta_X"	-0.159139950991139	0	0
"p:Opisthokonta-Choanoflagellata"	"p:Rhodophyta-Rhodophyta_X"	-0.0150265595293231	0.3	0.488571428571429
"p:Centroplasthelida-Centroplasthelida_X"	"p:Rhodophyta-Rhodophyta_X"	0.0338177334321551	0.96	1
"p:Kathablepharidacea-Kathablepharida"	"p:Rhodophyta-Rhodophyta_X"	-0.152671636109952	0.02	0.0534375
"p:Rhodophyta-Rhodophyta_X"	"p:Rhodophyta-Rhodophyta_X"	1	1	1
